사망사고 - 중앙선침범,1
중상사고 - 중앙선침범,57
경상사고 - 중앙선침범,103
부상신고 - 중앙선침범,8
사망사고 - 신호위반,4
중상사고 - 신호위반,317
경상사고 - 신호위반,711
부상신고 - 신호위반,27
사망사고 - 안전거리미확보,0
중상사고 - 안전거리미확보,209
경상사고 - 안전거리미확보,"1,399"
부상신고 - 안전거리미확보,82
사망사고 - 안전운전불이행,20
중상사고 - 안전운전불이행,971
경상사고 - 안전운전불이행,"5,654"
부상신고 - 안전운전불이행,383
사망사고 - 교차로운행방법위반,0
중상사고 - 교차로운행방법위반,71
경상사고 - 교차로운행방법위반,321
부상신고 - 교차로운행방법위반,17
사망사고 - 보행자보호의무위반,2
중상사고 - 보행자보호의무위반,109
경상사고 - 보행자보호의무위반,191
부상신고 - 보행자보호의무위반,17
사망사고 - 기타,5
중상사고 - 기타,146
경상사고 - 기타,575
부상신고 - 기타,55
